127.0.0.1 - - [24/Sep/2022:16:28:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:28:17 +0900] "GET /bookReviewProgram/rvInsert.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:28:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:29:28 +0900] "GET /bookReviewProgram/rvInsert.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:29:55 +0900] "GET /bookReviewProgram/rvInsert.jsp HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:30:17 +0900] "GET /bookReviewProgram/rvUpdate.jsp HTTP/1.1" 500 2593
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:30:31 +0900] "GET /bookReviewProgram/rvUpdate.jsp HTTP/1.1" 500 3005
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:30:52 +0900] "GET /bookReviewProgram/rvUpdate.jsp HTTP/1.1" 500 2593
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:31:26 +0900] "GET /bookReviewProgram/rvUpdate.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:34:06 +0900] "GET /bookReviewProgram/rvUpdate.jsp HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:34:12 +0900] "GET /bookReviewProgram/history.back() HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:34:30 +0900] "GET /bookReviewProgram/rvInsert.jsp HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:44:41 +0900] "POST /bookReviewProgram/rvInsertPro.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:46:18 +0900] "POST /bookReviewProgram/rvUpdatePro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:46:18 +0900] "GET /bookReviewProgram/boardList.jsp HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:46:21 +0900] "POST /bookReviewProgram/rvInsertPro.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:46:22 +0900] "POST /bookReviewProgram/rvInsertPro.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:50:35 +0900] "GET /bookReviewProgram/rvInsert.jsp HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:50:37 +0900] "POST /bookReviewProgram/rvInsertPro.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [24/Sep/2022:16:50:42 +0900] "POST /bookReviewProgram/rvUpdatePro.jsp HTTP/1.1" 200 205
